Time(ms),PCElapsed(ms),ADC,Voltage(V)
423404,0.000,631,0.678
423409,0.000,631,0.678
423414,16.000,631,0.678
423419,16.000,631,0.678
423424,16.000,631,0.678
423429,32.000,630,0.677
423434,32.000,630,0.677
423439,32.000,630,0.677
423444,47.000,631,0.678
423449,47.000,630,0.677
423454,47.000,631,0.678
423459,63.000,631,0.678
423464,63.000,631,0.678
423469,63.000,630,0.677
423474,63.000,631,0.678
423479,79.000,631,0.678
423484,79.000,631,0.678
423489,79.000,631,0.678
423494,94.000,631,0.678
423499,94.000,632,0.680
423504,94.000,631,0.678
423510,110.000,631,0.678
423515,110.000,631,0.678
423520,110.000,631,0.678
423525,125.000,632,0.680
423530,125.000,631,0.678
423535,125.000,631,0.678
423540,141.000,631,0.678
423545,141.000,631,0.678
423550,141.000,631,0.678
423555,157.000,631,0.678
423560,157.000,631,0.678
423565,157.000,631,0.678
423570,172.000,631,0.678
423575,172.000,632,0.680
423580,172.000,632,0.680
423585,188.000,632,0.680
423590,188.000,631,0.678
423595,188.000,632,0.680
423600,204.000,632,0.680
423605,204.000,632,0.680
423610,204.000,631,0.678
423615,219.000,632,0.680
423620,219.000,632,0.680
423625,219.000,631,0.678
423630,235.000,632,0.680
423635,235.000,631,0.678
423640,235.000,632,0.680
423645,235.000,632,0.680
423650,250.000,632,0.680
423655,250.000,632,0.680
423660,250.000,631,0.678
423665,266.000,632,0.680
423670,266.000,632,0.680
423675,266.000,632,0.680
423680,282.000,632,0.680
423685,282.000,632,0.680
423690,282.000,632,0.680
423695,297.000,632,0.680
423700,297.000,632,0.680
423705,297.000,632,0.680
423710,313.000,632,0.680
423715,313.000,632,0.680
423720,313.000,632,0.680
423725,329.000,632,0.680
423730,329.000,632,0.680
423735,329.000,632,0.680
423740,344.000,632,0.680
423745,344.000,632,0.680
423750,344.000,632,0.680
423755,360.000,632,0.680
423760,360.000,632,0.680
423766,360.000,632,0.680
423771,375.000,632,0.680
423776,375.000,632,0.680
423781,375.000,632,0.680
423786,391.000,633,0.681
423791,391.000,633,0.681
423796,391.000,633,0.681
423801,407.000,632,0.680
423806,407.000,632,0.680
423811,407.000,632,0.680
423816,407.000,632,0.680
423821,422.000,633,0.681
423826,422.000,632,0.680
423831,422.000,633,0.681
423836,438.000,633,0.681
423841,438.000,633,0.681
423846,438.000,632,0.680
423851,454.000,632,0.680
423856,454.000,632,0.680
423861,454.000,632,0.680
423866,469.000,633,0.681
423871,469.000,632,0.680
423876,469.000,632,0.680
423881,485.000,633,0.681
423886,485.000,633,0.681
423891,485.000,633,0.681
423896,500.000,633,0.681
423901,500.000,633,0.681
423906,500.000,633,0.681
423911,516.000,632,0.680
423916,516.000,632,0.680
423921,516.000,633,0.681
423926,532.000,633,0.681
423931,532.000,632,0.680
423936,532.000,633,0.681
423941,532.000,632,0.680
423946,547.000,633,0.681
423951,547.000,633,0.681
423956,547.000,633,0.681
423961,563.000,633,0.681
423966,563.000,633,0.681
423971,563.000,633,0.681
423976,579.000,633,0.681
423981,579.000,633,0.681
423986,594.000,633,0.681
423991,594.000,633,0.681
423996,594.000,633,0.681
424001,594.000,633,0.681
424006,610.000,633,0.681
424011,610.000,633,0.681
424016,610.000,633,0.681
424022,625.000,634,0.682
424027,625.000,633,0.681
424032,625.000,633,0.681
424037,641.000,633,0.681
424042,641.000,633,0.681
424047,641.000,633,0.681
424052,657.000,633,0.681
424057,657.000,633,0.681
424062,657.000,633,0.681
424067,672.000,633,0.681
424072,672.000,633,0.681
424077,672.000,633,0.681
424082,688.000,633,0.681
424087,688.000,633,0.681
424092,688.000,633,0.681
424097,704.000,634,0.682
424102,704.000,633,0.681
424107,704.000,633,0.681
424112,704.000,634,0.682
424117,719.000,634,0.682
424122,719.000,633,0.681
424127,719.000,634,0.682
424132,735.000,633,0.681
424137,735.000,633,0.681
424142,735.000,633,0.681
424147,750.000,633,0.681
424152,750.000,633,0.681
424157,750.000,633,0.681
424162,766.000,633,0.681
424167,766.000,633,0.681
424172,766.000,633,0.681
424177,782.000,634,0.682
424182,782.000,633,0.681
424187,782.000,634,0.682
424192,797.000,634,0.682
424197,797.000,634,0.682
424202,813.000,634,0.682
424207,813.000,634,0.682
424212,813.000,634,0.682
424217,813.000,634,0.682
424222,829.000,634,0.682
424227,829.000,634,0.682
424232,829.000,634,0.682
424237,829.000,634,0.682
424242,844.000,634,0.682
424247,844.000,634,0.682
424252,844.000,634,0.682
424257,860.000,634,0.682
424262,860.000,634,0.682
424267,860.000,634,0.682
424272,875.000,634,0.682
424278,875.000,634,0.682
424283,875.000,634,0.682
424288,891.000,634,0.682
424293,891.000,634,0.682
424298,891.000,635,0.683
424303,907.000,635,0.683
424308,907.000,634,0.682
424313,907.000,635,0.683
424318,922.000,635,0.683
424323,922.000,635,0.683
424328,922.000,634,0.682
424333,938.000,634,0.682
424338,938.000,634,0.682
424343,938.000,635,0.683
424348,954.000,634,0.682
424353,954.000,634,0.682
424358,954.000,634,0.682
424363,969.000,635,0.683
424368,969.000,634,0.682
424373,969.000,634,0.682
424378,985.000,634,0.682
424383,985.000,635,0.683
424388,985.000,635,0.683
424393,1000.000,635,0.683
